"topic","text"
"humor","They're just something you're supposed to put on cereal for breakfast '' ."
"humor","Resolving to get something done , I started in on the dishes ."
"science_fiction","`` What could I do with your lousy dead bodies ? ?"
"humor","At least the moment was postponed when he had to face the mystery of the power tools ."
"humor","`` Oh , I forgot to say that if one is taken to the funny house in the funny wagon , he is removed to a mental institution in an ambulance ."
"science_fiction","`` I volunteer '' , said Hal ."
"humor","`` Is that so '' ? ?"
"humor","The attempt had failed because , when endeavoring to cut his wrists , this murderer of seven women had fainted at the sight of blood ."
"humor","And she would wink and throw kisses ."
"humor","`` Moore and Longfellow didn't have the fate that faces us '' , Moreland said ."
"science_fiction","No -- there was a tiny pip on the radar ; ;"
"humor","`` Of course , dear '' , she said ."
"humor","Could such unadulterated love , for a total stranger , be credited ? ?"
"humor","`` That worm a murderer ? ?"
"humor","I wouldn't have wasted time puzzling over this couple were it not for my fear that all the other inhabitants of Catatonia were equally unreal ."
"humor","disturbing , as when one says that a friend is acting funny ; ;"
"humor","He had almost forgotten them , although they had played such an important part in his early dreams ."
"science_fiction","Formerly he had noticed them -- now he felt them ."
"science_fiction","after all , he had had the same set of facts as Jack had had to work from , and he was an almost frighteningly observant man ."
"science_fiction","Was ? ?"
"humor","Then , for the first time since his arrest , a glint of spirit lit Barco's eyes ."
"humor","He asked ."
"humor","There wasn't any such thing any more ."
"science_fiction","`` It is Mars '' ."
"science_fiction","`` Do with what '' ? ?"
"science_fiction","Look for them , will you ? ?"
"humor","It never worked , naturally ; ;"
"science_fiction","`` I had that in mind '' ."
"humor","`` I am worried about the current meanings of the word funny ."
"humor","Richard Brinsley Sheridan said , `` I think the interpreter is the hardest to be understood of the two '' ."
"science_fiction","`` No , no , no ."
"humor","From the curio cabinet on its south wall and the bureaus beneath , you abstracted seventeen ivory , metal , wood , and stone sculptures of Oriental and African origin , two snuffboxes , and a jade-handled magnifying glass ."
"humor","The more I probed into this young man's activities and character , the less savory I found him ."
"science_fiction","She found herself able to sing any role and any song which struck her fancy ."
"humor","All they could think of was to run around in circles , kicking their legs out ."
"humor","`` What have you got on today '' ? ?"
"science_fiction","He had lost his audience ."
"science_fiction","His own fate he accepted ."
"science_fiction","When he said it , they thought it exceedingly profound , though none of them understood it , since it was simply the amount of time that Mercer had been on Shayol :"
"humor","The maid demurred ."
"humor","But that wasn't very funny , either ."
"science_fiction","`` What are you talking about , Ryan ? ?"
"humor","It went to his head , and his ambition increased ."
"humor","And here it was ! !"
"humor","`` Or perhaps a new Noel Coward '' ? ?"
"humor","`` Did you or did you not say what I said you said , because Jane said you never said what I said '' ? ?"
"science_fiction","Yes indeed ."
"humor","well , not discussed him exactly , but said , `` Kafka '' ! !"
"humor","and it is not unlikely that , even as the great Bach lay dormant for so many years , so has the erudite , ingenious SalFininistas passed through his `` purgatory '' of neglect ."
"humor","I'm not pleading for the heart that leaps up when it beholds a rainbow in the sky , or for the heart that with rapture fills and dances with the daffodils ."
"humor","The children looked at each other and sagged their bottoms down even more comfortably than ever ."
"humor","`` You don't step on the flowers , do you ? ?"
"science_fiction","Now there could be an end to pretending ."
"humor","Like almost everybody else , he confused the heart , both as organ and as symbol , with the disturbed psyche , the deranged glands , and the jumpy central nervous system ."
"humor","Not without good reason has the anatomical been called jocular journalese ."
"science_fiction","She radiated warmth and good fellowship ."
"humor","Reduced to beggary , he at last got a job as office boy to a television producer ."
"science_fiction","`` But now I am not lonely ."
"science_fiction","Naturally , he couched the provision in obscure language ."
"humor","Mills secured Barco's photograph from the gentleman in charge , rushed to the Hollywood police station to report the theft , and less than five minutes later , detectives with his picture in hand were on the trail of Cal Barco ."
"science_fiction","Neither nation would give up their claim on it , yet neither wished to make any move that might lead to a second Apocalyptic War ."
"humor","It all has something to do with General Burnside and his horse '' ."
"science_fiction","Langer would have to be headed off , whether he knew where he was going or not ."
"humor","I dug around and found a mix , and was able to surprise them with a devil's-food cake with chocolate icing ."
"science_fiction","But not having talked to the Angels , he had made a wrong turn in his reasoning somewhere along the line ."
"humor","As a result , he was persuaded out to dinner ."
"humor","They were pushed gently into the room by Arlene -- whose only part appearing were hands that crept quickly back around to the kitchen side of the door ."
"humor","That helped a lot ."
"science_fiction","Suppose that this one were to work ? ?"
"science_fiction","It was worth trying ."
"science_fiction","The simple treaty principle that Gabriel was asking him to ratify , in short , was nothing less than total trust ."
"humor","It read : `` Shot in the lumbar region '' ."
"science_fiction","Her statement was a hope , not a truth in which they could believe ."
"humor","Only , unfortunately , he could not remove from his voice a nagging insinuation of the direct command ."
"science_fiction","We have learned much about interstellar drives since a hundred years ago ; ;"
"humor","For the last two years , this frontier of the arts has produced a number of so-called `` non-dramas '' which have left indelible , bittersweet impressions on the psyche of this veteran theatregoer ."
"science_fiction","Helva's class was doing Fine Arts , a selective subject in her crowded program ."
"science_fiction","Nothing ."
"science_fiction","This would be the fifth mapping expedition to the planetoids of Yancy-6 in three generations ."
"humor","Questions like this , framed in verbal fog , are perhaps the only kind that have ever stumped an experienced politician ."
"humor","Once there , the D.A. with devilish cleverness would provide Marshall with headlines : `` Viola's Multiple Romances '' `` Viola Lake an Addict '' `` Downfall of Another Film Idol '' ! !"
"science_fiction","`` Which you are programed to compute '' ? ?"
"humor","He looked at the luminous dial of his wrist watch ."
"humor","`` If we cannot tell evil , horror , and insanity from nonsense , what is the future of humor and comedy '' ? ?"
"science_fiction","Ekstrohm smiled , and followed the captain through the airlock with only a glance at the lapel gauge on his coverall ."
"humor","`` Just you wait '' , advised Arlene , echoing the dialogue in a recent British movie ."
"humor","`` The other day Arnold Toynbee spoke against the inveterate tendency of our species to believe in the uniqueness of its religions , its ideologies , and its virtually everything else ."
"humor","Whosoever violates our rooftree , the legend states , can expect maximal sorrow ."
"humor","`` I have come to talk with you about the future of humor and comedy '' , I told him , at which he started slightly , and then made us each a stiff drink , with a trembling hand ."
"humor","After a moment of thought , her mind cleared and , in the interest of clarity , she typed into the record : `` Shot in the woods '' ."
"science_fiction","Now we grow closer '' ."
"science_fiction","However , we sent a third vessel out , a much smaller and faster one than the first two ."
"humor","the air was thick with smoke , empty bottles were in evidence , and several of the guests were somewhat the worse for liquor ."
"science_fiction","This fiery swath was actually only a belt of minor planets , almost like the asteroid belt in the original Solar System ."
"science_fiction","And it might be , considering the uncomfortable custom the Angels had of thinking of everything in terms of absolutes , that the proposal of anything less might well amount instead to something like a declaration of war ."
"science_fiction","How could they not ? ?"
"humor","In clothes , Letch simply did not project ."
"humor","As I was playing Mother Cabrini , the picture was actually `` all mine '' , with nearly every scene built around me ."
"science_fiction","Check with one of them , go ahead -- there's no professional jealousy here '' ."
"science_fiction","`` Hesperus , don't use this t-tau vector trick of yours , please ."
"science_fiction","All around the Mediterranean Sea , Asia Minor , northern India , and Tibet , Hebrew was the native tongue ."
"science_fiction","But , I'm telling you , it'll be turned down -- you don't understand the System yet ."
"humor","This happy bulletin convulsed Mr. Gorboduc ."
"humor","When I arrived at Viola's I was shown , to my surprise , into the kitchen ."
"humor","people who thought it was nice to be important , but not important to be nice ; ;"
"humor","`` If I could only think of something at the studio , near me , to absorb his boundless energy '' , I said ."
"humor","If he was sober , which was doubtful , he'd have him get in touch with Mr. Crombie ."
"science_fiction","Nitrogen and oxygen are about it '' ."
"science_fiction","`` Oh , my ! !"
"humor","And the sheep said -- all in unison , I have no doubt -- ba-a-a ! !"
"humor","He was so long thinking that my mother had time to inspect her sherry for dregs ."
"humor","Mr. Gorboduc took a swig of his sherry ."
"humor","You certainly couldn't take them into the little apartment and if you tried to farm them out for two or three days every week they would become so confused that they would have nervous breakdowns ."
"science_fiction","The facsiport rolled open on the landscape ."
"humor","The policeman walked on , but he looked back once ."
"science_fiction","There were several missions which demanded instant attention but Helva had been of interest to several department heads in Central for some time and each man was determined to have her assigned to his section ."
"humor","Above all , disabuse yourselves of any thought that I propose to vent moral indignation at your rifling my residence , to whimper over the loss of a few objets d'art , or to shame you into rectitude ."
"humor","The foregoing , aided by several clues I'll withhold to keep you on your toes , will pursue you with a tenacity worthy of Inspector Javert , but before they close in , gird yourselves , I repeat , for a vengeance infinitely more pitiless ."
"humor","He turned his attention to the workbench ."
"humor","These boys acknowledged an introduction to anybody by gently pressing one of his hands in both of theirs , while they gazed , misty-eyed with care , into the eyes of the person they were meeting ."
"humor","For the remainder of the movie , Chancellor Neitzbohr proceeds to lash the piano stool with a slat from a Venetian blind that used to hang in the pre-war Reichstag ."
"humor","`` But we now find writers obsessed by the nooks and crannies of their ivory towers , and curiously devoted to the growing obscurity and complexity of poetry and non-poetry ."
"science_fiction","You may not be responsible '' ."
"science_fiction","`` Here , this will help '' , suggested Helva , substituting a magnifying device in one extension and holding it over the picture ."
"science_fiction","When they were forced to , Central Worlds shrugged its shoulders , arranged a tour of the Laboratory Schools and set the tour off to a big start by showing the members case histories , complete with photographs ."
"science_fiction","`` Thou art God '' ."
"science_fiction","To this we of course agree '' ."
"humor","My advice , if you live long enough to continue your vocation , is that the next time you're attracted by the exotic , pass it up -- it's nothing but a headache ."
"humor","At the same time he watched carefully to see how one attached pegboards to stone walls , but Mr. Blatz was usually standing in his line of vision and it all seemed so simple that he didn't like to disclose his ignorance ."
"science_fiction","Besides , they were not the only impressions ."
"humor","Henry Ford spoke of me as `` utterly astounding '' ."
"science_fiction","We can die , too , we can die like real people ."
"science_fiction","Naturally , he couldn't let his shipmates know this ."
"humor","The beautiful , the satisfying part of his disintegration , however , was the masterly way the Buddha polished him off ."
"humor","Doors that won't open , and doors that won't close and shelves and broken -- ''"
"humor","Jennie and Miranda twined themselves around me , murmuring endearments ."
"humor","Fran flaunted her independence by rebelling against the Catatonia uniform of Bermuda shorts and knee-length socks by wearing Bermuda shorts and knee-length socks in colors ; ;"
"humor","`` Last year your Tennessee Williams told our Dilys Powell , in a television program , that it is the task of the playwright to throw light into the dark corners of the human heart ."
"science_fiction","He was wide awake , but he did not feel like doing anything ."
"science_fiction","Never at all ."
"humor","Arlene was so ashamed that she hung her head when she said , `` Yes , sir '' ."
"humor","It had a gourmet's corner ( instead of a kitchen ) , a breakfast room , a luncheon room , a dining room , a sitting room , a room for standing up , a party room , dressing rooms for everybody , even a room for mud ."
"humor","This is the force , in our time and in every other time , that urges the paranoiac and the manic-depressive to become head of a state ."
"humor","She patronized Greenwich Village artists for awhile , then put some money into a Broadway show which was successful ( terrible , but successful ) ."
"science_fiction","They'll be in range in a short while '' ."
"humor","In news items a man is less often shot in the body or head than in the suburbs ."
"humor","`` We have good times '' ."
"humor","Under the circumstances , I had difficulty keeping up with the conversation on the phone , but when I hung up I was reasonably certain that Francesca had wanted to remind me of our town meeting the next evening , and how important it was that Hank and I be there ."
"science_fiction","And why was it causing so much agitation among the Angels , and being followed by so many of them ? ?"
"science_fiction","Yet , he told himself , this was the best way ."
"science_fiction","For her first three vegetable months she waved her crabbed claws , kicked weakly with her clubbed feet and enjoyed the usual routine of the infant ."
"science_fiction","The half-man received a dromozootic implant , turned red in the face , shouted senselessly at Mercer , `` Take it out , you fool ! !"
"humor","She held herself that way and turned her head towards them and laughed and winked ."
"humor","They were , I felt , people invariably trying to prove not who , but what they were , and trying to determine what , not who , others were ."
"humor","There was no question of that ."
"science_fiction","`` Okay , Stormy , this isn't the place for fun and games ."
"humor","i.e. , burglars who rob while the tenants are absent , in contrast to hot-slough prowlers , those who work while the occupants are home ."
"humor","'' My impassioned plea for civil rights created a landslide of correspondence and one sponsor even asked me to consider replacing the Eddie Cantor comedy hour on a permanent basis ."
"humor","they expired amid indescribable fantods , imploring the Blessed One to forgive their desecration ."
"science_fiction","Then , after slowing the vessel considerably , the drive would adjust to a one-gee deceleration ."
"humor","`` You have visited England five times in the past quarter-century , I believe '' , my host said ."
"humor","Opera in the Grand Tradition , along with mah-jongg , seems to be staging a well-deserved comeback ."
"humor","His manhood had been attacked ."
"science_fiction","For a moment he could make no sense at all of what he saw ."
"science_fiction","`` What will we need outside , Ryan '' ? ?"
"humor","I'm a stranger in paradise '' ."
"science_fiction","One such group got all incensed over shelled `` children '' when Helva was just turning fourteen ."
"science_fiction","Always she had had the company of other shells and more recently , technicians by the score ."
"science_fiction","`` Nobody else can live in your hearth while I am in it '' , Hesperus said promptly ."
"humor","Sometimes , he coincided with my father's being at home ."
"science_fiction","There were nine qualified scouts sitting around collecting base pay the day Helva was commissioned ."
"science_fiction","`` But I'm ambidextrous '' ."
"science_fiction","But Mary would soon no longer be living there , for she would be notified in a few days that her husband had died in an accident while on a flight to Tahiti ."
"science_fiction","he had ."
"humor","`` Cryptic '' , I said ."
"humor","So Mr. Crombie sat on a wooden box and talked in order to keep Mr. Blatz's mind from funny things ."
"humor","I promised to illustrate the lecture , if they so much as breathed till after the call was completed ."
"humor","If , however , it would help to intensify your anguish , I can delimit the powers of a few of the divinities you've affronted and describe the punishment they meted out in one analogous instance ."
"humor","I admired their easy way of doing things but I couldn't escape an uneasiness at their way of always doing the right things ."
"science_fiction","That's out of a play ."
"humor","His legs shook , and the shaking went right on up his body through his hips to his shoulders ."
"humor","The detective , commenting on Barco's behavior , felt that he merely belonged among the myriad citizens of our community who are mentally unhinged -- that he was a more or less harmless `` nut '' ! !"
"science_fiction","`` Asleep ."
"science_fiction","Ryan insisted ."
"science_fiction","Her hum became a gurgle of surprise ."
"humor","Do you want to hear the paraphrase '' ? ?"
"science_fiction","`` I never saw that '' , said Mercer , `` but I '' --"
"humor","She lived in an ultra-modern house whose decoration , appointments , paint , and even pets were chosen to complement her coloring ; ;"
"humor","`` That is only partly non-nonsense '' , he began ."
"science_fiction","`` Uh-huh '' , Ryan admitted ."
"humor","As Viola sat there , a playful impulse overcame her to remove the shoes and socks from the unidentified feet and , as a prank , insert rosebuds between the toes ."
"science_fiction","Helva turned her vision back to magnification and surveyed her copy critically ."
"science_fiction","The dromozoa fed him in their mysterious way ; ;"
"science_fiction","Ekstrohm demanded ."
"science_fiction","She would be among the elite of her kind ."
"humor","`` Is it anything like cooked-over oatmeal '' ? ?"
"science_fiction","No matter who the candidate for marriage selected by the gapt"
"science_fiction","That would make B'dikkat happy '' ! !"
"humor","Their curiosity went happily out of bounds ."
"humor","Hell's own amount of chaulmoogra oil did nothing to alleviate their torment ; ;"
"science_fiction","They lay months away from the nearest Earth star by jump drive , and no one knew what they were good for , although it was felt that they would probably be good for something if it could only be discovered -- much like the continent of Antarctica in ancient history ."
"humor","you're tooling around full of gage in your hot rods , gorging yourselves on pizza and playing pinball in the taverns and generally behaving like Ubermenschen ."
"humor","It was a disaster ! !"
"humor","`` I can't turn the studio into a gambling hell or a saloon '' , I said ."
"humor","but he said it too soon , for it came out just before the tap to which the door responded ."
"science_fiction","Sometimes the bubbling sound of geysers came faintly across the plain to the herd of men ; ;"
"science_fiction","Her first actual flight , for she and her kind had made mock flights on dummy panels since she was eight , showed her complete mastery of the techniques of her profession ."
"science_fiction","Mike do you ever get homesick ? ?"
"science_fiction","`` Don't bother '' , Mike answered ."
"humor","`` You and I have fallen out of literature into politics '' , Moreland observed ."
"humor","`` There was also Gott strafe Angleterre '' , Moreland reminded me , `` and Carthago delenda est , or if you will , Deus strafe Carthage ."
"science_fiction","Mercer did not know what an `` Earth-week '' was , since he had not been a well-read man before his conviction , but he got nothing more from the half-man at that time ."
"science_fiction","It sure as hell doesn't look like any dominant intelligent species to me ."
"science_fiction","Now all the bodies are missing , like they got up and walked away '' ."
"science_fiction","Many years later , the photon-counting apparatus in the nose of the ship would determine that the star was close enough to actuate deceleration ."
"humor","`` We won't live long enough if I wait for you , besides which you don't need to worry -- there'll be plenty more '' ."
"humor","Then , she was back on her feet , winking and smiling that enormous smile ( she had lots of wonderful big teeth that you never would have suspected she had when she was not smiling ) ."
"humor","Also , she lived in continual fear of finding a white worm curled up in a neat , mean little heap at the white center of the radish ."
"science_fiction","In his mind he spoke simultaneously the English sentence and the Martian word and felt closer grokking ."
"science_fiction","It was day , but in the thin atmosphere contrasts were sharp between light and shadow ."
"humor","Finally he asked , `` Do you object to petting '' ? ?"
"humor","`` What has impressed you most on your present visit '' ? ?"
"science_fiction","`` We grok God '' ."
"science_fiction","In a kind of shock , the ladies and gentlemen of the committee bent to observe the incredibly copied and brilliantly executed Last Supper on the head of a screw ."
"humor","`` I'm sorry , Mrs. Minks '' , Arlene said in a tone so low you could hardly hear it ."
"science_fiction","The bunk he lay on was much more uncomfortable than the acceleration couches on board ."
"science_fiction","`` I don't think I can ."
"humor","During the return trip , Barco kept muttering to himself in meaningless phrases , such as : `` They're under sand dunes They're better off , I tell you I saved their souls '' ."
"science_fiction","He would never have believed , without seeing it , that the bizarre little vessel could go so fast ."
"science_fiction","Meanwhile , all the personnel except those few needed to carry out the performance of the ship , went into the suspensor ."
"science_fiction","`` Hey , this is pretty close to a wart-hog '' ."
"humor","Speaking into the phone again and recognizing the caller , I resumed my everyday voice ."
"science_fiction","Did you ever see a play '' ? ?"
"science_fiction","We have considered several of your professionals because they were lamechians and above suspicion ."
"science_fiction","This went faster than scheduled as the Martians were helpful ."
"science_fiction","At last he noticed a return of the inwardness of pain ."
"humor","They wanted to see what his back felt like -- the General's ."
"humor","`` What is it '' ? ?"
"science_fiction","The neural , audio , visual and sensory connections were made and sealed ."
"humor","I thought for a second ."
"humor","But dear me , no ; ;"
"humor","but it made her look unusual ."
"science_fiction","Mercer stammered , not knowing what B'dikkat meant , and the two-nosed man answered for him , `` I think he has a nice baby head , but it isn't big enough for you to take yet '' ."
"humor","There had been some coconut in it , for I remember my mother's taking a quick glance at a stringy bit of this nut on the cheek of one of them and then putting down her radish with a shiver ."
"humor","`` Is it true that you believe the other animals are saner than the human species '' ? ?"
"science_fiction","he wanted to explain his new grokking ."
"humor","The girl nodded understandingly ."
"humor","Did he show the rest of the cast -- numbering four thousand -- the consideration of arriving at the studio punctually -- or even at all ? ?"
"science_fiction","Therefore of course I will help '' ."
"science_fiction","I'll switch on the floods '' ."
"science_fiction","The bodies in the truck threshed and bawled without human speech when the dromozoa struck them ."
"science_fiction","Ryan shook his head ."
"humor","`` The human ego being what it is '' , I put in , `` science fiction has always assumed that the creatures on the planets of a thousand larger solar systems than ours must look like gigantic tube-nosed fruit bats ."
"science_fiction","No , not he , for I , and I alone , am responsible for whatever happens to me ."
"humor","Our suspicions eventually centered , by the process of elimination , on a grocer's boy , a thoroughly bad hat , who delivered cartons to the people overhead ."
"humor","Finally , at Ye Olde Gasse Filling Station on Avocado Avenue , they learned that their man , having paused to get oil for his car , had asked about the route to San Diego ."
"humor","Then Jennie closed her eyes , stretched forth her arms , and said : `` Take my hand , Louise ; ;"
"science_fiction","`` No '' , said the half-man , `` a sort of eye-machine with real people doing the figures '' ."
"science_fiction","And very , very few were lost when the final connection was made to the control panels of ship or industrial combine ."
"humor","I have no notion why I reached ."
"humor","`` I want the fish served whole , with head and tail '' , the epicure explained , `` and serve it with lemon in mouth '' ."
"science_fiction","The big man seldom gave out with such thoughts ."
"science_fiction","The half-man woke , recognized Mercer and gave him a healthily sleepy grin ."
"humor","He did not ! !"
"science_fiction","Then , he said , `` Unfortunately , only one lamechian linguist exists , and he is too old for this expedition ."
"humor","How in the world had he formerly found time to build up a business , raise a family , be on half a dozen boards , work actively on committees and either go out in the evening or plow through the contents of a bulging brief case ? ?"
"humor","And it so happened that adjacent to a couch on which she had taken refuge was a small table on which she noted a vase of red rosebuds ; ;"
"science_fiction","My , you look chipper '' ."
"humor","He asked ."
"science_fiction","These planets were much bigger , nearly all capable of holding an atmosphere ."
"humor","Their father , when he came back from those many business trips , just bumped their mother on the forehead with his lips and asked if anybody had thought to mix the martinis and put them in the electric icebox ."
"humor","It is but so-so '' ."
"science_fiction","`` Of course '' , replied Helva logically , activating her outside scanners ."
"science_fiction","Foster listened with angelic patience until Digby ran down , then said , `` Listen , junior , you're an angel now -- so forget it ."
"science_fiction","Mary was free to marry again , not knowing that the Sturch had secretly given her a divorce , thinking that death had dissolved her marriage ."
"science_fiction","`` A thousand pardons '' , said Hal ."
"science_fiction","Said she , `` I'm strong , too ."
"humor","How in the world did one attach a pegboard to a stone wall ? ?"
"humor","It was apparent that Welch was in cahoots with Marshall and would use his power as D.A. to drag every possible sensation into the case ."
"humor","Although the play does show a certain structural amateurishness ( there are eleven acts varying in length from twenty-five seconds to an hour and a half ) , the statement it makes concerning the ceaseless yearning and searching of youth is profound and worthy of our attention ."
"science_fiction","Tanner wisecracked ."
"humor","The robe , however , was missing , for by that time Barco had disposed of it at a pawnshop in Glendale ."
"science_fiction","As long as her development within her shell lived up to expectations , and there were no side-effects from the pituitary tinkering , Helva would live a rewarding , rich and unusual life , a far cry from what she would have faced as an ordinary , `` normal '' being ."
"humor","Foreigners this way ' ! !"
"humor","Francesca was pleasant and charming , but Blanche was sweet ."
"humor","After the pegboard there would be the paneling ."
"science_fiction","The Angels in the nursery were zigzagging wildly in all directions , seemingly at random ."
"humor","Was it possible that as people grow older the nature of time changed ? ?"
"humor","Mr. Blatz had been at least sober enough to remember to telephone and he turned out to be the greatest boon that had come into Mr. Crombie's life since he moved to Highfield , in spite of the fact that he didn't work very fast or very long at a time , and he didn't like to work at all unless Mr. Crombie hung around and talked to him ."
"science_fiction","Said Hal , forgetting in his enthusiasm that he had not been asked to speak ."
"humor","I asked , taking a final gulp of my drink , and handing him the empty glass ."
"science_fiction","A Tibetan swami from Palermo , Sicily , announced in Beverly Hills a newly discovered , ancient yoga discipline for ripple breathing which increased both pranha and cosmic attraction between sexes ."
"humor","`` I'm General Burnside's horse , upside down '' , Arlene said , sort of gaspingly , for her : even she had to breathe kind of funny when she was in that position ."
"science_fiction","I'll switch on the underwater lights ."
"science_fiction","This was no man's land , disputed by the Haijac Union and the Israeli Republic , a potential source of war for the last two hundred years ."
"humor","They were `` sincere '' -- men of the too-hearty handclasp and the urgent smile ."
"science_fiction","Hal waited : Macneff paced some more , frowning ."
"science_fiction","In between teratologies , she was a pretty and shapely woman ; ;"
"humor","The obscurity of politicians may not always be as innocent as it looks ."
"humor","The policeman's eyes rather popped for a second ; ;"
"humor","But this time she was nervous : she was open ."
"science_fiction","That's why I think of plays ."
"humor","Pioneers ! !"
"humor","There are many grammatical misconstructions other than dangling modifiers and anatomicals which permit two different interpretations ."
"humor","Viola greeted me , in checked apron , ladle in hand , and explained it was the cook's night out and that she herself was preparing dinner ."
"science_fiction","Jubal couldn't reconstruct the crime from the way the girls behaved because patterns kept shifting -- ABC vs D , then BCD vs A or AB vs CD , or AD vs CB , through all ways that four women can gang up on each other ."
"humor","She always let it be known that there was wine in the pot roast or that the chicken had been marinated in brandy , and that Koussevitzky's second cousin was an intimate of theirs ."
"science_fiction","Helva asked , politely ."
"science_fiction","Ekstrohm suggested ."
"science_fiction","Almost surely he did ; ;"
"humor","They're not even food ."
"science_fiction","plants are being taught to grow '' ."
"humor","Maybe that was why they were cordial and loyal towards the unpredictability of Arlene ."
"humor","And then again perhaps the reason why he couldn't find time to do any of the things he had planned to do after retirement : reading , roaming , gardening , lying on his back and watching the clouds go by , was because he didn't want to do them ."
"science_fiction","There was only one possible answer , but Jack's horrified mind refused to believe it until he had fed the radar plots of the skiff's course into the computer ."
"science_fiction","It was , to Helva , only a matter of the correct reproduction and diaphragmic control required by the music attempted ."
"humor","The difficulty was that each day seemed to produce its quota of details which must be cleaned up immediately ."
"science_fiction","Anyhow , it was high time the boy was salted ."
"science_fiction","He tried to ask the Lady Da how long they had had the drug , and how much longer they would have to wait before they had it again ."
"science_fiction","The half-man lay on the ground , arteries pulsating prettily behind the half-transparent film which protected his abdominal cavity ."
"humor","`` Officials Meet on rubbish ."
"science_fiction","For one thing , the organs of speech of the Ozagen natives differed somewhat from Earthmen's ; ;"
"science_fiction","The buddies invariably took advantage of him ."
"science_fiction","It was clear that Langer had at last found a way to attract the Angel's attention ."
"humor","It seems to me that the first human being to reach one of these planets may well learn what it is to be a truly great and noble species '' ."
"humor","`` I see the girl but I don't see the car with slacks on '' ."
"science_fiction","`` Ekstrohm , you and I will have a look '' , Ryan said ."
"humor","One or two were writers of books ; ;"
"science_fiction","`` I am currently reproducing the Last Supper on the head of a screw '' ."
"science_fiction","Oh , you can submit a requisition for a miracle if you want to make a fool of yourself ."
"science_fiction","Ekstrohm picked up a lightweight no-back from the ship's library , a book by Bloch , the famous twentieth century expert on sex ."
"humor","`` That's the General's horse '' , one of them cried out ."
"science_fiction","`` My beloved ward , my perennial gadfly '' , said the whining voice ."
"science_fiction","He was the captain , so he could ask questions like that ."
"humor","Now did Welch truly become the man of the hour , and everything that followed in the procedure of Justice was a new triumph for him ."
"humor","One woman -- she could have been either English or American -- went up to him and said , ' But you are the foreigners ' '' ."
"humor","Said the digger ."
"humor","It was I who paid for our little home , the food , the liquor , the servants -- even Letch's bills at his tailor and the Los Angeles Athletic Club ."
"science_fiction","Asked the lady ."
"science_fiction","`` No directives from Central is scarcely a cause for regret , but there happen to be eight other guys biting their fingernails to the quick just waiting for an invitation to board you , you beautiful thing '' ."
"humor","He looked so comfortable being straight ."
"humor","This creates an amusing effect because its position in a sentence seems to make it apply to the wrong word ."
"humor","`` What is Letch interested in '' ? ?"
"humor","The newspaper boys cracked jokes and again Barco's pride was aroused ."
"science_fiction","`` Don't try anything violent , Stormy ."
"humor","I know something that is much more fun that we can do on our little lawn '' ."
"science_fiction","On Earth elections continued and a very advanced poet published a limited edition of verse consisting entirely of punctuation marks and spaces ; ;"
"science_fiction","Are you hungry '' ? ?"
"humor","They were inseparable , not because they were fond of each other , but because they wanted to keep an eye on each other , as they were keen rivals for social leadership ."
"science_fiction","`` I'll carry the tray '' ."
"science_fiction","`` Vocal peculiarities often become excessively irritating during prolonged intra-stellar distances and must be eliminated ."
"humor","No less ambiguous was the indefinity of a certain clergyman's sermon ."
"humor","She arrived late and as she entered the party , noted that gentlemen seemed to be in the majority ; ;"
"science_fiction","It makes you wonder if this exploration business isn't all some big joke , and somebody has been everywhere before you even started '' ."
"science_fiction","`` How wonderful to see your cherished self ."
"science_fiction","but he never slept ."
"humor","The Albany Civic Opera's presentation of Spumoni's immortal Il Sevigli del Spegititgninino , with guest contralto Hattie Sforzt ."
"humor","And a witty American journalist remarked over a century ago what is even more true today , `` Many a writer seems to think he is never profound except when he can't understand his own meaning '' ."
"science_fiction","No hands , for one thing ."
"science_fiction","`` They should not be sad ."
"science_fiction","Yes , I heard it in the news '' ."
"humor","He had made such a fuss about buying that second car that he knew he was vulnerable ."
"science_fiction","Take it easy '' ."
"science_fiction","According to these needles , they're stone dead '' ."
"humor","There is a bitter satire for a future writer in that '' ."
"humor","However while in his cell awaiting trial for theft , Barco , in a fit of apprehension , made an attempt to take his own life ."
"humor","First of all , the six figures of the Buddha you heisted -- four Siamese heads , a black obsidian statuette in the earth-touching position , and a large brass figure of the Dying Buddha on a teakwood base ."
"science_fiction","And , therefore , being in disgrace , they would not be cremated and their ashes flung to the winds in public ceremony ."
"humor","The next day the police captain , in derision , organized what he termed `` Welch's Wild Goose Chase '' ."
"science_fiction","`` No problem at all '' , said Macneff ."
"humor","By such innocent actions are human tragedies sometimes set in motion ."
"science_fiction","He no longer had to lie in his bunk all night , his eyes closed , pretending to sleep ."
"science_fiction","The pains themselves had not changed ; ;"
"humor","Perhaps it was his misfortune , or good fortune , whichever way one looked at it , to belong to the former group , and he was struggling unconsciously to build up pressure in a world which demanded none , which was positively antagonistic to it ."
"science_fiction","She had activated one of her microscopic tools which she would later use for minute repairs to various parts of her control panel ."
"science_fiction","He staggered back to the group ."
"science_fiction","But you should understand , Jack , that Hesperus and Lucifer are not long out of the nursery ."
"humor","By the time the film was released we were three million dollars over-spent , war was imminent and the public apparently had forgotten all about Mother Cabrini ."
"science_fiction","She could take care of herself and her ambulatory half , in any situation already recorded in the annals of Central Worlds and any situation its most fertile minds could imagine ."
